AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU 25 DE MAYO;ASCENDENTE;400.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;1;1;0;0;2022;6;1;14;Miércoles
AU 25 DE MAYO;ASCENDENTE;6400.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;6;2;7;Jueves
AU ILLIA;ASCENDENTE;2500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;0;1;2022;6;2;7;Jueves
AU FRONDIZI;DESCENDENTE;1500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;6;2;17;Jueves
AU PERITO MORENO;DESCENDENTE;500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2022;6;2;17;Jueves
AU PERITO MORENO;DESCENDENTE;100.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;3;1;Viernes
AU 25 DE MAYO;ASCENDENTE;3800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;1;2022;6;3;12;Viernes
AU DELLEPIANE;ASCENDENTE;3200.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;3;0;0;2022;6;3;12;Viernes
AU DELLEPIANE;ASCENDENTE;100.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0;2022;6;3;13;Viernes
AU 25 DE MAYO;ASCENDENTE;4500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;0;2022;6;3;15;Viernes
AV. LUGONES;DESCENDENTE;5200.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;6;4;0;Sábado
AU 25 DE MAYO;DESCENDENTE;3900.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;4;1;Sábado
AU 25 DE MAYO;ASCENDENTE;4000.0;BUENO;SECA;1;1;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;6;4;7;Sábado
AU PERITO MORENO;ASCENDENTE;4000.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;4;9;Sábado
TRANSICION RAMAL 1;RAMAL DE EGRESO;4254.418498168498;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;4;16;Sábado
AV. LUGONES;DESCENDENTE;5300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;4;23;Sábado
AU DELLEPIANE;DESCENDENTE;3500.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;6;5;4;Domingo
AU PERITO MORENO;ASCENDENTE;4200.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;6;6;12;Lunes
AU 25 DE MAYO;ASCENDENTE;3300.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;6;6;18;Lunes
AU PERITO MORENO;DESCENDENTE;5400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;6;7;18;Martes
AU PERITO MORENO;ASCENDENTE;1500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;6;8;8;Miércoles
AU FRONDIZI;ASCENDENTE;1500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2022;6;8;12;Miércoles
AU 25 DE MAYO;DESCENDENTE;9000.0;BUENO;SECA;1;1;COLISION CON DOS O MAS VEHICULOS;2;0;0;1;2022;6;8;13;Miércoles
PASEO DEL BAJO;ASCENDENTE;6200.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;0;1;2022;6;8;19;Miércoles
PASEO DEL BAJO;ASCENDENTE;1700.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;0;1;2022;6;8;20;Miércoles
AU PERITO MORENO;ASCENDENTE;1200.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;6;9;17;Jueves
